id,result,year,school_id,subject_id
62302,25.9,2015,10071,1
62303,70.4,2015,10073,2
62304,38.6,2015,10073,1
62305,78.1,2015,10074,2
62306,44.4,2015,10074,1
62307,71.4,2015,10075,2
62308,41.8,2015,10075,1
62309,74.9,2015,10076,2
62310,46.5,2015,10076,1
62311,70.9,2015,10077,2
62312,43.8,2015,10077,1
62313,75.1,2015,10078,2
62314,45.3,2015,10078,1
62315,79.2,2015,10080,2
62316,50.6,2015,10080,1
62317,65.2,2015,10081,2
62318,30.5,2015,10081,1
62319,76.6,2015,10082,2
62320,58.4,2015,10082,1
62321,74.8,2015,10084,2
62322,45.7,2015,10084,1
62323,71,2015,10085,2
62324,38.9,2015,10085,1
62325,67.3,2015,10086,2
62326,36.6,2015,10086,1
62327,68.1,2015,10087,2
62328,50.8,2015,10087,1
62329,83.3,2015,10090,2
62330,71.1,2015,10090,1
62331,62.2,2015,10091,2
62332,38.1,2015,10091,1
62333,69.3,2015,10092,2
62334,50.6,2015,10092,1
62335,66.9,2015,10093,2
62336,35.4,2015,10093,1
62337,65,2015,10095,2
62338,35.2,2015,10095,1
62339,86.6,2015,10096,2
62340,65.9,2015,10096,1
62341,63.6,2015,10097,2
62342,31.2,2015,10097,1
62343,62.9,2015,10099,2
62344,27.1,2015,10099,1
62345,67.1,2015,10100,2
62346,32.4,2015,10100,1
62347,73.8,2015,10101,2
62348,34,2015,10101,1
62349,70.5,2015,10102,2
62350,46,2015,10102,1
62351,75.4,2015,10103,2
62352,53.7,2015,10103,1
62353,65.3,2015,10106,2
62354,39.2,2015,10106,1
62355,65.4,2015,10107,2
62356,34.4,2015,10107,1
62357,66.2,2015,10108,2
62358,42.1,2015,10108,1
62359,70.3,2015,10109,2
62360,47.3,2015,10109,1
62361,67.1,2015,10110,2
62362,34.9,2015,10110,1
62363,62.4,2015,10111,2
62364,40.8,2015,10111,1
62365,54.1,2015,10112,2
62366,25.8,2015,10112,1
62367,80.7,2015,10113,2
62368,56.8,2015,10113,1
62369,68.8,2015,10114,2
62370,38,2015,10114,1
62371,60.1,2015,10115,2
62372,27.9,2015,10115,1
62373,65,2015,10116,2
62374,31.5,2015,10116,1
62375,84.14,2015,10119,2
62376,66.65,2015,10119,1
62377,74.68,2015,10119,8
62378,73.75,2015,10119,7
62379,76.17,2015,10119,6
62380,64.14,2015,10119,11
62381,71.75,2015,10119,3
62382,67.83,2015,10119,9
62383,50.5,2015,10119,4
62384,84.74,2015,10120,2
62385,77.34,2015,10120,1
62386,72.29,2015,10120,8
62387,78.72,2015,10120,7
62388,71.17,2015,10120,6
62389,74.76,2015,10120,11
62390,75.92,2015,10120,3
62391,73.4,2015,10120,9
62392,62.8,2015,10121,2
62393,36.67,2015,10121,1
62394,50.63,2015,10121,8
62395,45.75,2015,10121,9
62396,75.08,2015,10122,2
62397,55.6,2015,10122,1
