LegalAddress,FullName,ShortName
"123100, г. Москва, ул.2-я Черногрязская, д.7",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2055 имени Героев Советского Союза Анатолия Живова и Юрия Костикова»,ГБОУ школа № 2055
"107140, г. Москва, 2-й Красносельский пер., д 18",Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1525 «Красносельский»,ГБОУ Лицей № 1525 «Красносельский»
"119602, г. Москва, ул.Академика Анохина, д.4, корп.5",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1317»,ГБОУ школа № 1317
"125493, г. Москва, ул. Смольная, д. 25",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1583 имени К. А. Керимова»,ГБОУ гимназия № 1583
"121615, г. Москва, Рублевское ш., д.24, корп.3",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1584»,ГБОУ гимназия № 1584
"109428, г. Москва, ул. Маевок, дом 4",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 777 имени Героя Советского Союза Е.В. Михайлова»,ГБОУ школа № 777
"129626, г. Москва, ул. Староалексеевская, дом 1",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1539»,ГБОУ гимназия № 1539
"117534, г. Москва, Кировоградская ул., д.42, корп.2",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранного (английского) языка № 1245»,ГБОУ школа № 1245
"107076, г. Москва, ул. Олений вал, дом 22",Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 30 имени К.А. Микаэльяна»,ГКОУ СКОШИ № 30
"109451, г. Москва, Перервинский б-р, д.5, корп.3",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1423»,ГБОУ школа № 1423
"123001, г. Москва, Вспольный пер., д.6, стр.3",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1239»,ГБОУ школа № 1239
"121351, г. Москва, ул. Полоцкая, д.21",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 806»,ГБОУ школа № 806
"111558, г. Москва, Федеративный проспект, д.37А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 633»,ГБОУ школа № 633
"119634, г. Москва, ул.Шолохова, д.9",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1467»,ГБОУ школа № 1467
"105082, г. Москва, Переведеновский пер., д.11",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1429 имени Героя Советского Союза Н.А. Боброва»,ГБОУ школа № 1429
"119421, г. Москва, Ленинский пр-т, д.97, корп.2,3",Государственное бюджетное общеобразовательное учреждение города Москвы «Специальная (коррекционная) школа-интернат VIII вида № 108»,ГБОУ школа № 108
